iter	Passed	Remaining
0	6	6416
1	15	7957
2	23	7857
3	33	8274
4	39	7917
5	50	8305
6	57	8173
7	66	8275
8	73	8134
9	83	8254
10	93	8388
11	101	8354
12	109	8340
13	117	8302
14	126	8295
15	134	8243
16	141	8180
17	148	8122
18	156	8055
19	164	8068
20	171	7978
21	180	8019
22	187	7944
23	196	7988
24	203	7930
25	212	7958
26	219	7900
27	228	7931
28	235	7885
29	244	7915
30	252	7877
31	261	7921
32	268	7864
33	278	7909
34	285	7858
35	293	7864
36	300	7821
37	309	7835
38	317	7821
39	325	7808
40	334	7835
41	344	7849
42	350	7802
43	360	7832
44	367	7789
45	377	7832
46	386	7836
47	394	7826
48	404	7855
49	412	7835
50	420	7830
51	428	7807
52	435	7780
53	444	7779
54	451	7765
55	459	7748
56	467	7728
57	475	7718
58	481	7684
59	490	7689
60	497	7659
61	505	7654
62	512	7627
63	522	7643
64	529	7614
65	537	7605
66	544	7585
67	552	7566
68	560	7564
69	571	7586
70	579	7578
71	590	7609
72	597	7589
73	608	7616
74	619	7643
75	630	7668
76	642	7698
77	652	7712
78	661	7716
79	674	7751
80	683	7756
81	695	7787
82	708	7829
83	722	7881
84	736	7933
85	749	7960
86	761	7994
87	776	8050
88	791	8100
89	807	8163
90	817	8169
91	828	8174
92	840	8194
93	851	8204
94	861	8211
95	873	8224
96	883	8225
97	894	8235
98	906	8253
99	920	8281
100	938	8354
101	949	8357
102	960	8365
103	970	8362
104	982	8375
105	993	8383
106	1007	8404
107	1021	8434
108	1032	8443
109	1042	8437
110	1052	8430
111	1064	8437
112	1075	8444
113	1089	8466
114	1103	8492
115	1117	8517
116	1127	8506
117	1136	8496
118	1147	8497
119	1155	8474
120	1167	8480
121	1181	8502
122	1196	8529
123	1207	8529
124	1216	8516
125	1224	8491
126	1232	8470
127	1239	8446
128	1247	8425
129	1254	8398
130	1263	8384
131	1270	8357
132	1279	8338
133	1285	8309
134	1295	8299
135	1301	8270
136	1311	8259
137	1318	8234
138	1327	8225
139	1334	8197
140	1344	8191
141	1351	8164
142	1359	8150
143	1367	8130
144	1377	8120
145	1383	8094
146	1392	8081
147	1400	8063
148	1409	8050
149	1417	8031
150	1427	8025
151	1435	8006
152	1445	7999
153	1455	7995
154	1468	8005
155	1477	7994
156	1486	7979
157	1495	7967
158	1503	7952
159	1512	7939
160	1520	7925
161	1531	7921
162	1542	7921
163	1552	7916
164	1563	7910
165	1576	7920
166	1585	7907
167	1594	7894
168	1603	7886
169	1614	7884
170	1625	7882
171	1635	7871
172	1648	7879
173	1661	7885
