Feature,Importance
embedding_114,258
embedding_103,246
embedding_44,241
embedding_54,234
embedding_131,206
embedding_71,196
embedding_86,190
embedding_15,190
embedding_99,189
embedding_231,178
embedding_151,173
embedding_207,171
embedding_243,169
embedding_273,168
embedding_249,167
embedding_51,162
embedding_47,161
embedding_255,160
embedding_306,160
embedding_119,158
embedding_142,158
embedding_277,157
embedding_72,156
embedding_64,156
embedding_69,154
embedding_239,154
embedding_188,153
embedding_121,150
embedding_171,149
embedding_307,148
embedding_49,145
embedding_113,145
embedding_110,145
embedding_37,142
embedding_149,141
embedding_82,141
embedding_174,140
embedding_59,139
embedding_160,138
embedding_41,137
embedding_16,135
embedding_256,134
embedding_134,133
embedding_209,132
embedding_88,131
embedding_286,131
embedding_154,131
embedding_201,131
embedding_89,130
embedding_173,129
embedding_77,129
embedding_130,127
embedding_148,127
embedding_139,126
embedding_175,124
embedding_179,122
embedding_245,122
embedding_304,122
embedding_170,121
topic_lda_8,120
embedding_55,120
embedding_168,119
embedding_172,119
embedding_159,117
embedding_28,117
embedding_50,116
embedding_67,116
topic_lda_0,115
embedding_212,114
embedding_97,114
embedding_4,114
embedding_27,114
embedding_118,114
embedding_102,113
embedding_262,113
embedding_263,113
embedding_308,112
embedding_178,112
embedding_278,111
embedding_218,111
embedding_140,111
embedding_260,111
embedding_167,111
embedding_144,111
embedding_79,110
embedding_238,110
embedding_270,109
topic_lda_1,109
embedding_198,109
embedding_63,108
embedding_101,108
embedding_135,108
embedding_165,107
embedding_274,107
embedding_19,107
embedding_38,107
embedding_57,106
embedding_183,106
embedding_229,106
embedding_21,104
embedding_196,104
embedding_246,104
embedding_265,103
topic_nmf_0,103
embedding_222,103
embedding_42,103
embedding_52,103
embedding_301,102
embedding_25,102
embedding_219,101
embedding_276,101
embedding_258,101
embedding_36,101
embedding_264,101
embedding_290,101
embedding_115,100
embedding_203,100
embedding_187,99
embedding_117,98
embedding_156,98
embedding_223,98
embedding_65,97
embedding_272,97
topic_lda_4,96
embedding_305,96
embedding_92,96
embedding_266,96
embedding_184,96
embedding_303,96
embedding_14,95
embedding_35,95
embedding_240,95
embedding_298,95
embedding_40,95
embedding_141,94
embedding_293,94
embedding_12,94
embedding_94,94
embedding_146,92
embedding_248,92
embedding_129,92
embedding_91,91
embedding_90,91
embedding_189,90
embedding_18,90
embedding_185,90
embedding_24,90
embedding_62,89
embedding_43,88
embedding_84,88
embedding_31,88
embedding_205,88
embedding_279,87
embedding_34,86
embedding_111,86
embedding_75,86
embedding_250,86
embedding_11,86
embedding_232,86
embedding_74,85
embedding_234,85
embedding_138,84
embedding_251,84
embedding_161,84
embedding_289,84
embedding_227,83
embedding_93,83
embedding_123,83
embedding_124,83
embedding_9,83
embedding_58,82
topic_nmf_7,82
embedding_39,82
embedding_56,81
embedding_206,81
embedding_13,81
embedding_292,81
embedding_153,81
embedding_106,80
embedding_224,80
embedding_221,80
embedding_215,80
embedding_46,80
embedding_61,80
embedding_200,79
embedding_237,79
embedding_10,79
embedding_66,78
embedding_150,77
embedding_287,77
embedding_169,76
embedding_26,76
embedding_6,75
embedding_310,75
embedding_296,75
embedding_76,74
embedding_163,73
embedding_45,73
embedding_190,73
embedding_176,73
embedding_120,73
embedding_267,73
embedding_309,72
embedding_288,72
embedding_22,72
embedding_20,71
embedding_284,71
embedding_0,70
embedding_87,70
embedding_235,70
embedding_85,69
embedding_282,69
embedding_226,69
embedding_17,69
embedding_1,69
embedding_210,69
embedding_197,69
embedding_191,68
embedding_8,68
embedding_242,68
embedding_181,68
embedding_194,67
embedding_48,67
embedding_100,66
topic_nmf_5,66
embedding_29,66
embedding_152,66
embedding_211,66
embedding_73,66
embedding_126,66
embedding_96,66
topic_lda_6,65
embedding_253,65
embedding_247,65
embedding_202,65
embedding_199,65
embedding_291,64
topic_lda_7,64
embedding_83,64
embedding_136,64
embedding_5,64
embedding_192,64
embedding_283,63
embedding_216,63
embedding_147,62
embedding_104,62
embedding_107,62
embedding_294,62
embedding_81,61
embedding_204,61
embedding_259,61
embedding_182,61
embedding_98,61
embedding_311,60
avg_word_length,60
embedding_128,60
embedding_241,60
embedding_23,60
embedding_228,59
unique_words_ratio,59
embedding_268,59
embedding_195,59
embedding_281,59
embedding_225,59
topic_nmf_4,58
embedding_269,58
embedding_254,58
embedding_80,58
embedding_230,57
embedding_122,57
embedding_125,57
embedding_109,56
embedding_3,55
embedding_275,54
topic_lda_2,54
embedding_137,54
embedding_233,54
embedding_162,53
topic_nmf_8,53
embedding_193,53
embedding_157,53
embedding_186,52
embedding_68,52
embedding_78,52
embedding_60,52
embedding_164,52
topic_nmf_6,51
embedding_155,51
embedding_244,51
embedding_166,51
embedding_300,51
embedding_30,51
embedding_299,50
embedding_302,49
topic_lda_9,49
embedding_252,49
embedding_214,49
embedding_127,49
embedding_112,48
embedding_280,48
embedding_70,48
embedding_271,48
embedding_213,48
embedding_261,48
embedding_145,47
embedding_180,47
embedding_108,46
embedding_32,46
embedding_257,45
embedding_7,45
embedding_53,44
embedding_285,44
embedding_105,44
embedding_208,43
topic_lda_3,43
embedding_132,42
embedding_2,41
embedding_236,41
embedding_143,40
embedding_297,40
embedding_95,40
embedding_158,37
topic_nmf_1,36
embedding_116,35
embedding_217,35
embedding_133,34
embedding_33,32
embedding_177,32
embedding_220,32
topic_lda_5,25
embedding_295,22
topic_nmf_2,18
topic_nmf_9,17
topic_nmf_3,14
sphere_Финансы/Энергетика,10
