Feature,Importance
topic_nmf_2,153
embedding_58,142
embedding_134,126
embedding_231,125
embedding_99,125
embedding_126,125
embedding_270,124
embedding_156,122
embedding_105,121
embedding_307,121
embedding_207,118
embedding_38,116
embedding_177,116
embedding_51,116
embedding_230,115
embedding_119,115
embedding_263,114
embedding_235,114
embedding_237,113
embedding_25,113
embedding_239,112
embedding_61,112
embedding_176,111
embedding_86,111
embedding_137,110
embedding_89,109
embedding_291,108
embedding_135,107
embedding_147,107
embedding_47,107
embedding_129,106
embedding_259,105
embedding_308,105
embedding_309,105
embedding_95,105
embedding_250,105
embedding_280,105
embedding_123,105
embedding_83,104
embedding_103,104
embedding_194,103
embedding_284,103
embedding_274,103
embedding_215,102
embedding_206,102
embedding_286,102
embedding_169,101
embedding_196,101
embedding_24,101
embedding_31,101
embedding_12,100
embedding_2,100
embedding_154,100
embedding_54,99
embedding_94,99
embedding_240,99
embedding_208,98
embedding_144,98
embedding_186,98
embedding_246,98
embedding_236,98
embedding_210,98
embedding_98,97
embedding_281,97
embedding_4,97
embedding_16,97
embedding_92,97
embedding_140,97
embedding_136,97
embedding_200,97
embedding_52,96
embedding_145,96
embedding_100,96
embedding_171,96
embedding_214,95
embedding_148,95
embedding_160,95
embedding_255,94
embedding_60,94
embedding_180,94
embedding_155,94
embedding_247,94
embedding_35,93
embedding_44,93
embedding_185,93
embedding_9,93
embedding_273,92
embedding_300,92
embedding_45,91
embedding_164,91
topic_lda_1,91
embedding_277,91
embedding_205,91
embedding_37,91
embedding_249,90
embedding_199,90
embedding_293,90
embedding_295,90
embedding_97,89
embedding_46,89
embedding_232,89
embedding_303,89
embedding_242,89
embedding_76,88
embedding_201,88
embedding_130,88
embedding_10,88
embedding_15,87
embedding_151,87
embedding_67,87
embedding_110,87
embedding_142,87
embedding_139,87
embedding_302,87
embedding_276,86
embedding_165,86
embedding_114,86
embedding_162,86
embedding_166,86
embedding_115,86
embedding_209,85
embedding_21,85
embedding_290,85
embedding_111,85
embedding_128,85
embedding_77,85
embedding_55,85
embedding_192,85
embedding_245,85
embedding_223,85
embedding_287,84
embedding_109,84
embedding_75,84
embedding_90,84
embedding_170,84
embedding_266,84
embedding_305,84
embedding_104,84
embedding_175,83
embedding_116,83
embedding_3,83
embedding_254,83
embedding_257,83
embedding_252,83
embedding_36,83
embedding_190,83
embedding_131,83
embedding_71,83
embedding_163,83
embedding_96,83
embedding_217,83
embedding_188,83
embedding_85,83
embedding_11,82
embedding_265,82
embedding_48,82
embedding_213,82
embedding_228,82
embedding_80,82
embedding_121,82
embedding_158,82
embedding_292,82
embedding_112,81
embedding_244,81
embedding_283,81
embedding_202,81
embedding_191,81
embedding_279,81
embedding_88,80
embedding_50,80
embedding_178,80
embedding_127,80
topic_lda_4,80
embedding_28,80
embedding_260,80
embedding_282,80
embedding_211,80
embedding_57,80
embedding_32,80
embedding_262,80
embedding_107,79
embedding_124,79
embedding_157,79
embedding_29,79
embedding_22,79
embedding_256,79
embedding_264,79
embedding_258,79
embedding_212,79
embedding_238,78
embedding_43,78
topic_nmf_4,78
embedding_117,78
embedding_120,78
embedding_225,78
embedding_72,78
embedding_181,77
embedding_78,77
embedding_229,76
embedding_41,76
embedding_198,76
embedding_218,76
embedding_159,76
embedding_296,76
embedding_0,76
topic_lda_0,76
embedding_30,76
embedding_204,75
embedding_189,75
embedding_248,75
embedding_275,75
embedding_285,74
embedding_106,74
embedding_141,73
embedding_152,73
embedding_73,73
embedding_311,73
embedding_193,73
embedding_197,73
embedding_101,73
embedding_79,73
embedding_272,73
embedding_271,73
embedding_149,72
embedding_20,72
embedding_220,72
embedding_42,72
avg_word_length,72
embedding_224,72
embedding_23,71
embedding_251,71
embedding_68,71
embedding_182,71
embedding_143,71
embedding_297,71
topic_nmf_8,71
embedding_133,70
embedding_26,70
embedding_233,70
embedding_267,69
embedding_253,69
embedding_301,69
embedding_150,69
embedding_108,69
embedding_81,69
embedding_6,69
embedding_219,69
topic_lda_7,69
embedding_306,68
embedding_216,68
embedding_179,68
embedding_241,68
embedding_234,68
embedding_8,68
embedding_304,67
embedding_161,67
embedding_184,67
embedding_167,67
embedding_174,67
embedding_298,67
embedding_173,66
embedding_5,66
embedding_27,66
embedding_203,66
embedding_91,66
embedding_187,66
embedding_226,66
embedding_49,65
embedding_289,65
embedding_118,65
embedding_18,65
embedding_195,64
embedding_84,64
embedding_66,64
embedding_65,64
embedding_261,64
embedding_56,64
embedding_183,64
embedding_53,64
embedding_34,64
embedding_278,64
embedding_62,64
embedding_269,63
embedding_310,63
embedding_102,62
embedding_14,62
embedding_13,62
topic_nmf_3,62
embedding_122,62
embedding_138,62
topic_lda_6,61
embedding_146,61
embedding_70,61
topic_lda_2,61
embedding_113,61
embedding_74,60
embedding_19,60
embedding_132,60
embedding_39,60
embedding_59,59
embedding_93,59
embedding_294,58
embedding_125,58
embedding_7,58
embedding_222,57
embedding_17,57
embedding_288,57
embedding_1,57
embedding_40,57
topic_lda_3,56
embedding_221,56
embedding_87,55
embedding_227,55
embedding_268,55
topic_lda_9,54
embedding_299,54
embedding_69,54
topic_lda_5,53
embedding_153,51
embedding_243,51
embedding_82,47
embedding_172,46
embedding_63,46
embedding_168,45
topic_nmf_1,45
topic_nmf_9,44
embedding_64,44
topic_nmf_6,43
embedding_33,43
unique_words_ratio,43
topic_nmf_7,37
topic_nmf_5,33
topic_lda_8,32
topic_nmf_0,31
sphere_Финансы/Энергетика,16
